Input = Sprache;Sprache in %;Marvin Go in %;Stille in %;Inferenzdauer in ms
Zielwert;100;0;0;N/A
Sample0;100.0;0.0;0.0;6.00123405456543
Sample1;100.0;0.0;0.0;4.001855850219727
Sample2;0.61;99.39;0.0;4.00090217590332
Sample3;99.84;0.16;0.0;4.000425338745117
Sample4;99.17;0.83;0.0;4.000663757324219
Sample5;100.0;0.0;0.0;4.00090217590332
Sample6;98.2;1.8;0.0;4.000663757324219
Sample7;100.0;0.0;0.0;5.001306533813477
Sample8;100.0;0.0;0.0;4.001140594482422
Sample9;100.0;0.0;0.0;4.000663757324219
Sample10;92.67;7.33;0.0;4.000425338745117
Sample11;99.98;0.02;0.0;4.00090217590332
Sample12;100.0;0.0;0.0;3.999948501586914
Sample13;99.84;0.16;0.0;5.001306533813477
Sample14;100.0;0.0;0.0;4.000663757324219
Sample15;96.43;3.57;0.0;4.00090217590332
Sample16;99.99;0.01;0.0;4.000663757324219
Sample17;100.0;0.0;0.0;4.00090217590332
Sample18;99.97;0.03;0.0;4.001617431640625
Sample19;97.62;2.38;0.0;4.00090217590332
Sample20;100.0;0.0;0.0;4.001617431640625
Sample21;100.0;0.0;0.0;4.001379013061523
Sample22;92.77;7.23;0.0;5.000591278076172
Sample23;100.0;0.0;0.0;4.001855850219727
Sample24;99.93;0.07;0.0;4.000663757324219
Sample25;96.97;3.03;0.0;4.002571105957031
Sample26;100.0;0.0;0.0;4.999399185180664
Sample27;100.0;0.0;0.0;4.002094268798828
Sample28;100.0;0.0;0.0;4.000663757324219
Sample29;100.0;0.0;0.0;5.001306533813477
Sample30;94.32;5.68;0.0;5.001068115234375
Sample31;97.25;2.75;0.0;4.001140594482422
Sample32;88.54;11.46;0.0;4.000186920166016
Sample33;100.0;0.0;0.0;4.00090217590332
Sample34;78.25;21.75;0.0;4.000663757324219
Sample35;100.0;0.0;0.0;4.000663757324219
Sample36;100.0;0.0;0.0;4.00090217590332
Sample37;82.26;17.74;0.0;4.000663757324219
Sample38;100.0;0.0;0.0;3.999471664428711
Sample39;100.0;0.0;0.0;4.00090217590332
Sample40;99.99;0.01;0.0;4.000663757324219
Sample41;11.78;88.22;0.0;5.001306533813477
Sample42;77.43;22.57;0.0;4.001140594482422
Sample43;100.0;0.0;0.0;5.001068115234375
Sample44;100.0;0.0;0.0;4.001855850219727
Sample45;99.69;0.31;0.0;4.000663757324219
Sample46;100.0;0.0;0.0;4.00090217590332
Sample47;99.66;0.34;0.0;4.001140594482422
Sample48;99.99;0.01;0.0;4.000425338745117
Sample49;100.0;0.0;0.0;4.000663757324219
Sample50;100.0;0.0;0.0;4.002094268798828
Sample51;98.32;1.68;0.0;5.00035285949707
Sample52;2.45;97.55;0.0;4.000663757324219
Sample53;100.0;0.0;0.0;5.001306533813477
Sample54;4.2;95.8;0.0;4.000425338745117
Sample55;26.09;73.91;0.0;5.001306533813477
Sample56;98.98;1.02;0.0;4.001379013061523
Sample57;96.09;3.91;0.0;5.000591278076172
Sample58;94.92;5.08;0.0;4.002094268798828
Sample59;82.16;17.84;0.0;4.000425338745117
Sample60;100.0;0.0;0.0;4.00090217590332
Sample61;99.99;0.01;0.0;4.000663757324219
Sample62;100.0;0.0;0.0;4.001140594482422
Sample63;100.0;0.0;0.0;4.000425338745117
Sample64;4.92;95.08;0.0;5.001544952392578
Sample65;1.98;98.02;0.0;4.001140594482422
Sample66;100.0;0.0;0.0;4.001855850219727
Sample67;86.59;13.41;0.0;4.999876022338867
Sample68;97.08;2.92;0.0;4.001617431640625
Sample69;100.0;0.0;0.0;4.00090217590332
Sample70;99.94;0.06;0.0;4.001140594482422
Sample71;100.0;0.0;0.0;4.00090217590332
Sample72;100.0;0.0;0.0;4.000663757324219
Sample73;100.0;0.0;0.0;4.000425338745117
Sample74;100.0;0.0;0.0;4.001855850219727
Sample75;100.0;0.0;0.0;4.001855850219727
Sample76;99.97;0.03;0.0;5.000114440917969
Sample77;11.96;88.04;0.0;4.00090217590332
Sample78;100.0;0.0;0.0;5.001544952392578
Sample79;85.7;14.3;0.0;4.001379013061523
Sample80;93.36;6.64;0.0;4.000186920166016
Sample81;100.0;0.0;0.0;4.001855850219727
Sample82;99.95;0.05;0.0;3.9997100830078125
Sample83;0.76;99.24;0.0;5.001068115234375
Sample84;100.0;0.0;0.0;4.00090217590332
Sample85;100.0;0.0;0.0;4.000186920166016
Sample86;100.0;0.0;0.0;4.001855850219727
Sample87;100.0;0.0;0.0;4.00090217590332
Sample88;99.99;0.01;0.0;5.001306533813477
Sample89;100.0;0.0;0.0;4.001379013061523
Sample90;93.68;6.32;0.0;4.000425338745117
Sample91;100.0;0.0;0.0;4.001140594482422
Sample92;79.97;20.03;0.0;4.001617431640625
Sample93;100.0;0.0;0.0;5.000829696655273
Sample94;100.0;0.0;0.0;4.000663757324219
Sample95;100.0;0.0;0.0;5.001068115234375
Sample96;99.98;0.02;0.0;4.000663757324219
Sample97;100.0;0.0;0.0;4.001855850219727
Sample98;99.93;0.07;0.0;4.000425338745117
Sample99;100.0;0.0;0.0;5.001306533813477
Sample100;50.76;49.24;0.0;4.001617431640625
Sample101;100.0;0.0;0.0;5.00178337097168
Sample102;100.0;0.0;0.0;4.000186920166016
Sample103;76.21;23.79;0.0;4.001379013061523
Sample104;99.89;0.11;0.0;3.999948501586914
Sample105;100.0;0.0;0.0;4.000663757324219
Sample106;100.0;0.0;0.0;4.001617431640625
Sample107;76.73;23.27;0.0;5.00035285949707
Sample108;17.59;82.41;0.0;4.001617431640625
Sample109;100.0;0.0;0.0;4.000663757324219
Sample110;66.92;33.08;0.0;3.999948501586914
Sample111;95.29;4.71;0.0;4.000663757324219
Sample112;100.0;0.0;0.0;4.002571105957031
Sample113;97.4;2.6;0.0;3.9992332458496094
Sample114;99.69;0.31;0.0;4.002094268798828
Sample115;99.85;0.15;0.0;4.000425338745117
Sample116;99.99;0.01;0.0;3.9997100830078125
Sample117;100.0;0.0;0.0;4.00090217590332
Sample118;100.0;0.0;0.0;4.001379013061523
Sample119;1.11;98.89;0.0;4.001617431640625
Sample120;98.35;1.65;0.0;4.001140594482422
Sample121;100.0;0.0;0.0;4.001379013061523
Sample122;100.0;0.0;0.0;4.00090217590332
Sample123;99.75;0.25;0.0;4.002094268798828
Sample124;99.98;0.02;0.0;4.000425338745117
Sample125;100.0;0.0;0.0;4.001379013061523
Sample126;100.0;0.0;0.0;5.00035285949707
Sample127;100.0;0.0;0.0;4.000186920166016
Sample128;100.0;0.0;0.0;5.001068115234375
Sample129;100.0;0.0;0.0;4.001379013061523
Sample130;100.0;0.0;0.0;3.999471664428711
Sample131;98.49;1.51;0.0;4.002094268798828
Sample132;100.0;0.0;0.0;5.000829696655273
Sample133;99.99;0.01;0.0;4.000663757324219
Sample134;12.14;87.86;0.0;4.000663757324219
Sample135;100.0;0.0;0.0;4.00090217590332
Sample136;100.0;0.0;0.0;4.000663757324219
Sample137;71.05;28.95;0.0;4.001140594482422
Sample138;100.0;0.0;0.0;4.000186920166016
Sample139;99.96;0.04;0.0;5.00178337097168
Sample140;100.0;0.0;0.0;4.001140594482422
Sample141;99.67;0.33;0.0;4.000425338745117
Sample142;99.98;0.02;0.0;4.002094268798828
Sample143;100.0;0.0;0.0;4.000425338745117
Sample144;99.19;0.81;0.0;3.999948501586914
Sample145;97.06;2.94;0.0;4.001140594482422
Sample146;97.42;2.58;0.0;4.000425338745117
Sample147;86.73;13.27;0.0;4.000663757324219
Sample148;55.24;44.76;0.0;4.000425338745117
Sample149;35.23;64.77;0.0;4.001855850219727
Sample150;100.0;0.0;0.0;5.000591278076172
Sample151;100.0;0.0;0.0;4.000425338745117
Sample152;100.0;0.0;0.0;4.000663757324219
Sample153;100.0;0.0;0.0;3.9997100830078125
Sample154;14.57;85.43;0.0;4.000186920166016
Sample155;100.0;0.0;0.0;4.001617431640625
Sample156;100.0;0.0;0.0;5.000591278076172
Sample157;99.89;0.11;0.0;4.001379013061523
Sample158;100.0;0.0;0.0;5.001068115234375
Sample159;99.87;0.13;0.0;4.00090217590332
Sample160;100.0;0.0;0.0;3.9997100830078125
Sample161;100.0;0.0;0.0;4.001617431640625
Sample162;100.0;0.0;0.0;4.000663757324219
Sample163;100.0;0.0;0.0;4.00090217590332
Sample164;99.99;0.01;0.0;4.00090217590332
Sample165;100.0;0.0;0.0;4.000663757324219
Sample166;100.0;0.0;0.0;4.001379013061523
